, F.p,,F.p,,F.p,,F.p,,F.p,,F.p
1,341,42,30889,83,115921,124,258511,165,464185,206,680627
2,561,43,31417,84,121465,125,264773,166,476971,207,683761
3,645,44,31609,85,123251,126,266305,167,481573,208,688213
4,1105,45,31621,86,126217,127,271951,168,486737,209,710533
5,1387,46,33153,87,129889,128,272251,169,488881,210,711361
6,1729,47,34945,88,129921,129,275887,170,489997,211,721801
7,1905,48,35333,89,130561,130,276013,171,493697,212,722201
8,2047,49,39865,90,137149,131,278545,172,493885,213,722261
9,2465,50,41041,91,149281,132,280601,173,512461,214,729061
10,2701,51,41665,92,150851,133,282133,174,513629,215,738541
11,2821,52,42799,93,154101,134,284581,175,514447,216,741751
12,3277,53,46657,94,157641,135,285541,176,526593,217,742813
13,4033,54,49141,95,158369,136,289941,177,530881,218,743665
14,4369,55,49981,96,162193,137,294271,178,534061,219,745889
15,4371,56,52633,97,162401,138,294409,179,552721,220,748657
16,4681,57,55245,98,164737,139,314821,180,556169,221,757945
17,5461,58,57421,99,172081,140,318361,181,563473,222,769567
18,6601,59,60701,100,176149,141,323713,182,574561,223,769757
19,7957,60,60787,101,181901,142,332949,183,574861,224,786961
20,8321,61,62745,102,188057,143,334153,184,580337,225,800605
21,8481,62,63973,103,188461,144,340561,185,582289,226,818201
22,8911,63,65077,104,194221,145,341497,186,587861,227,825265
23,10261,64,65281,105,196021,146,348161,187,588745,228,831405
24,10585,65,68101,106,196093,147,357761,188,604117,229,838201
25,11305,66,72885,107,204001,148,367081,189,611701,230,838861
26,12801,67,74665,108,206601,149,387731,190,617093,231,841681
27,13741,68,75361,109,208465,150,390937,191,622909,232,847261
28,13747,69,80581,110,212421,151,396271,192,625921,233,852481
29,13981,70,83333,111,215265,152,399001,193,635401,234,852841
30,14491,71,83665,112,215749,153,401401,194,642001,235,873181
31,15709,72,85489,113,219781,154,410041,195,647089,236,875161
32,15841,73,87249,114,220729,155,422659,196,653333,237,877099
33,16705,74,88357,115,223345,156,423793,197,656601,238,898705
34,18705,75,88561,116,226801,157,427233,198,657901,239,915981
35,18721,76,90751,117,228241,158,435671,199,658801,240,916327
36,19951,77,91001,118,233017,159,443719,200,665281,241,934021
37,23001,78,93961,119,241001,160,448921,201,665333,242,950797
38,23377,79,101101,120,249841,161,449065,202,665401,243,976873
39,25761,80,104653,121,252601,162,451905,203,670033,244,983401
40,29341,81,107185,122,253241,163,452051,204,672487,245,997633
41,30121,82,113201,123,256999,164,458989,205,679729,,
