,E.p,,E.p,,E.p,,E.p,,E.p,,E.p
1,561,20,30121,39,115921,58,266305,77,486737,96,721801
2,1105,21,33153,40,126217,59,271951,78,488881,97,741751
3,1729,22,34945,41,129921,60,278545,79,489997,98,745889
4,1905,23,41041,42,130561,61,280601,80,493697,99,748657
5,2047,24,42799,43,149281,62,294409,81,514447,100,800605
6,2465,25,46657,44,158369,63,314821,82,526593,101,818201
7,3277,26,49141,45,162401,64,323713,83,530881,102,825265
8,4033,27,52633,46,164737,65,334153,84,552721,103,838201
9,4681,28,62745,47,172081,66,340561,85,580337,104,838861
10,6601,29,65281,48,188057,67,348161,86,588745,105,841681
11,8321,30,74665,49,196093,68,357761,87,625921,106,852481
12,8481,31,75361,50,208465,69,390937,88,635401,107,852841
13,10585,32,80581,51,215265,70,399001,89,647089,108,873181
14,12801,33,85489,52,220729,71,410041,90,656601,109,875161
15,15841,34,87249,53,223345,72,427233,91,658801,110,877099
16,16705,35,88357,54,233017,73,448921,92,665281,111,916327
17,18705,36,90751,55,252601,74,449065,93,670033,112,976873
18,25761,37,104653,56,253241,75,458989,94,683761,113,983401
19,29341,38,113201,57,256999,76,476971,95,711361,114,997633
