coli ; colii
501; (11242731902975,502288218432),
502; (3832352837,171046278),
503; (24648,1099),(1215047807,54176304),(59896996669224,2670675080885),
504; (449,20),(403201,17960),(362074049,16128060),(325142092801,14482979920)
505; (809,36),(1308961,58248),(2117898089,94245228)
506; (45,2),(4049,180),(364365,16198),(32788801,1457640),(2950627725,131171402)
507; (1351,60),(3650401,162120),(9863382151,438048180),(26650854921601,1183606020240),
508; (44757606858751,1985797689600),
509; 
510; (271,12),(146881,6504),(79609231,3525156),(43148056321,1910628048)
511; (4188548960,185290497),
512; (665857,29427),(886731088897,39188347878),
513; (13771351,608020),(379300216730401,16746513670040),
514; (4625,204),(42781249,1887000),(395726548625,17454749796),
515; (17406,767),(605937671,26700804),(21093902185446,929508388081),
516; (16855,742),(568182049,25012820),(19153416854935,843182161458),
517; (590968985399,25990786260),
518; (2367,104),(11205377,492336),(53046252351,2330718520)
519; (14851876,651925),(441156441438751,19364618522600),
520; (6499,285),(84474001,3704430),(1097993058499,48150180855),
521; 
522; (19603,858),(768555217,33638748),(30131975818099,1318840753230),
523; (81810300626,3577314675),
524; (225144199,9835470),
525; (6049,264),(73180801,3193872),(885341324449,38639463192),
526; 
527; (528,23),(557567,24288),(588790224,25648105),(621761918977,27084374592)
528; (23,1),(1057,46),(48599,2115),(2234497,97244),(102738263,4471109)
529; 
530; (1059,46),(2242961,97428),(4750590339,206352458),(10061748095041,437054408616),
531; (530,23),(561799,24380),(595506410,25842777),(631236232801,27393319240)
532; (2588599,112230),(13401689565601,581036931540),
533; (74859849,3242540),
534; (3678725,159194),(27066035251249,1171261895300),
535; (1618804,69987),(5241052780831,226590471096),
536; (145925,6303),(42588211249,1839530550),
537; (192349463,8300492),
538; (9536081203,411129654),
539; (3970,171),(31521799,1357740),(250283080090,10780455429),
540; (119071,5124),(28355806081,1220239608),
541; 
542; (4293183,184408),(36862840542977,1583394581328),
543; (669337,28724),(896024039137,38452071976),
544; (2449,105),(11995201,514290),(58752492049,2518992315)
545; (1961,84),(7691041,329448),(30164260841,1292094972)
546; (701,30),(982801,42060),(1377886301,58968090),(1931795611201,82673220120),
547; (160177601264642,6848699678673),
548; (6083073,259856),(74007554246657,3161446034976),
549; (1766319049,75384660),
550; (30580901,1303974),
