,1449774329,,3333999913,,7686335197,
1,38075,1449705625,57740,3333907600,87671,7686204241
2,38076,7447,57741,23168,87672,44387
3,380759,1449757510,230963,3333908674,263015,7686208649
4,1561112,29495,288704,1791,350687,8817
5,3502983,1449751962,18419315,3333922345,6926068,7686311344
6,8567078,52459,18708019,37273,48833163,50516
7,12070061,1449771169,55835353,3333987265,153425557,7686282946
8,286178481,29137,465390843,83849,509109834,6503
9,584427023,1449740329,521226196,3333975752,5703946044,7686221950
10,870605504,37991,2029069431,83408,6213055878,59988
11,5258198,1449753174,2550295627,3333986530,4230666725,7686222176
12,886380098,104,3211139255,86943,2757387406,7181
13,1349759102,1449702004,2427434969,3333980297,6159895487,7686206881
14,786364871,3733,2012314448,93,1230947696,43363
15,343174032,1449744393,2543730100,3333934380,2166403378,7686320746
16,22938606,30305,1222044635,49936,2002379263,143276
17,389051244,1449772441,431774822,3333968626,4168782641,7686314144
18,698193832,69383,2517369101,20899,438516962,68397
19,1087245076,1449769194,3016620588,3333973401,5045816565,7686271596
20,334636530,61336,1247851801,18507,2843814895,45033
